OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OKEAN-O,1999-039A,2025-06-07T18:19:19.780896,14.79794478,.0001835,97.9837,215.8179,106.8369,253.3044,0,U,25860,999,39372,.89518E-4,.621E-5,0
SL-16 R/B,1999-039B,2025-06-07T21:01:09.949440,14.81275246,.0016224,98.0363,212.7261,70.7048,289.5917,0,U,25861,999,39617,.71076E-4,.501E-5,0
DELTA 2 R/B,1999-041E,2025-06-07T17:38:03.059232,14.10727992,.0506383,51.7668,318.4590,257.5579,96.8262,0,U,25876,999,32420,.13042E-3,.57E-5,0
HELIOS 1B,1999-064A,2025-06-07T23:16:04.578816,14.86468797,.000064,98.1965,48.0383,135.0951,225.0315,0,U,25977,999,64443,.12498E-3,.1047E-4,0
TERRA,1999-068A,2025-06-08T04:44:15.544032,14.60703370,.0001887,97.9983,217.4656,9.3648,83.1494,0,U,25994,999,35512,.9617E-4,.424E-5,0
SL-16 R/B,2000-006B,2025-06-08T04:09:59.322528,14.15777004,.0018466,71.0027,315.0212,242.6970,117.2273,0,U,26070,999,30968,.13102E-3,.21E-5,0
TITAN 4B R/B,2000-047B,2025-06-08T05:11:00.951072,15.07164196,.0044536,67.9904,90.7423,342.8249,17.1389,0,U,26474,999,35160,.22508E-3,.3335E-4,0
ENVISAT,2002-009A,2025-06-07T20:58:15.570912,14.38918654,.0001311,98.3334,114.7073,90.7849,288.0402,0,U,27386,999,21965,.39103E-4,.78E-6,0
IDEFIX & ARIANE 42P R/B,2002-021B,2025-06-07T16:28:01.385760,14.30791178,.0010694,98.5611,96.0887,279.1879,80.8094,0,U,27422,999,20469,.10043E-3,.22E-5,0
AQUA,2002-022A,2025-06-08T04:21:56.415744,14.61291333,.0002108,98.3775,117.4194,76.7448,53.3477,0,U,27424,999,22867,.17242E-3,.802E-5,0
CZ-4B R/B,2002-024C,2025-06-08T02:58:41.208384,14.14485209,.0051235,98.9235,208.2418,82.6014,331.4646,0,U,27432,999,19050,.48765E-4,.5E-6,0
MIDORI II (ADEOS-II),2002-056A,2025-06-07T20:53:05.461440,14.29046348,.0002209,98.7378,111.1744,81.8346,278.3086,0,U,27597,999,17104,.1206E-3,.26E-5,0
H-2A R/B,2002-056E,2025-06-07T20:27:00.389376,14.33507639,.0069161,98.2786,125.4253,260.7501,118.7698,0,U,27601,999,17473,.93486E-4,.223E-5,0
CZ-4B R/B,2003-049C,2025-06-07T21:32:00.577824,14.54681611,.0048304,98.6585,138.5847,351.8480,8.1926,0,U,28059,999,14662,.93661E-4,.355E-5,0
CZ-2C R/B,2004-012C,2025-06-08T00:54:16.621632,15.44153576,.0022442,97.7667,197.8339,225.5985,134.3426,0,U,28222,999,16169,.35724E-3,.16435E-3,0
SL-16 R/B,2004-021B,2025-06-08T03:47:29.812416,14.14549776,.0002659,71.0010,88.5972,101.6211,258.5210,0,U,28353,999,8401,-.11802E-3,-.274E-5,0
CZ-4B R/B,2004-035C,2025-06-08T02:11:21.086592,15.24093175,.0034952,97.3796,192.1459,216.5337,143.3516,0,U,28415,999,13802,.22374E-3,.5454E-4,0
